"source","target","weight"
"Ansar al-Dine (Mali)","France",2
"Ansar al-Dine (Mali)","International",18
"Ansar al-Dine (Mali)","Mali",32
"Ansar al-Dine (Mali)","Switzerland",1
"Ansar al-Furqan","Iran",1
"Ansar al-Imam Musa al-Sadr","Libya",1
"Ansar al-Islam","Iraq",25
"Ansar al-Islam","Jordan",1
"Ansar al-Islam","Multinational",1
"Ansar al-Islam","Syria",1
"Ansar al-Islam","United States",1
"Ansar al-Islam (Burkina Faso)","Burkina Faso",1
"Ansar al-Jihad","Iraq",1
"Ansar Al-Khilafa (Philippines)","Philippines",3
"Ansar al-Sharia (Libya)","Egypt",4
"Ansar al-Sharia (Libya)","France",1
"Ansar al-Sharia (Libya)","Italy",1
"Ansar al-Sharia (Libya)","Libya",56
"Ansar al-Sharia (Libya)","United States",2
"Ansar al-Sharia (Tunisia)","Tunisia",12
"Ansar al-Sharia Operations Room (Syria)","Syria",7
"Ansar al-Sunna","Great Britain",1
"Ansar al-Sunna","Iraq",13
"Ansar al-Sunna","Japan",1
"Ansar al-Sunna","Nepal",1
"Ansar al-Sunna","United States",1
"Ansar al-Tahwid wal Sunna","Germany",1
"Ansar Bayt al-Maqdis (Ansar Jerusalem)","Egypt",60
"Ansar Bayt al-Maqdis (Ansar Jerusalem)","Israel",10
"Ansar Bayt al-Maqdis (Ansar Jerusalem)","South Korea",1
"Ansar Bayt al-Maqdis (Ansar Jerusalem)","United States",1
"Ansar Sarallah","Iran",1
"Ansar Wa Mohajir (Pakistan)","Pakistan",2
"Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)","France",1
"Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)","Great Britain",1
"Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)","Lebanon",2
"Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)","Nigeria",2
"Ansaru ash-Sharia (Russia)","Russia",1
"Ansarul Islam (Pakistan)","Pakistan",2
"Ansarullah Bangla Team","Bangladesh",8
"Ansarullah Bangla Team","United States",1
"Antagonistic Nuclei of the New Urban Guerrilla","Chile",1
"Anti - Election Demonstrators","Bangladesh",1
"Anti Kurdish Workers Party Iraq nationals","Iraq",1
"Anti Shah of Iran","United States",1
"Anti Somoza Gp, name unk","Nicaragua",1
"Anti-Abortion extremists","Germany",2
"Anti-Abortion extremists","United States",198
"Anti-Abortion extremists","West Germany (FRG)",1
"Anti-AF","United States",1
"Anti-American Arab Liberation Front","Germany",1
"Anti-Apostate Movement Alliance (AGAP)","Indonesia",1
"Anti-Armenian Organization","Armenia",2
"Anti-Authority Group (Greece)","Cyprus",1
"Anti-Authority Group (Greece)","Greece",11
"Anti-Authority Group (Greece)","United States",1
"Anti-Balaka Militia","Cameroon",1
"Anti-Balaka Militia","Central African Republic",37
"Anti-Balaka Militia","International",18
"Anti-Bhutto demonstrators","Pakistan",1
